stem,voronoi_f1,voronoi_iou,voronoi_precision,voronoi_recall,voronoi_tp,voronoi_fp,voronoi_fn,voronoi_tn,sam_f1,sam_iou,sam_precision,sam_recall,sam_tp,sam_fp,sam_fn,sam_tn,delta_iou,n_tokens,n_regen_masks,align_mean_centroid_error,align_mean_area_error,align_count_gap
01683,0.1785613209175186,0.09803312237086444,0.10485015037654936,0.6012458162885831,12934.0,110423.0,8578.0,130209.0,0.05708819459865735,0.02938280288377,0.045126792513975535,0.07767757530680551,1671.0,35358.0,19841.0,205274.0,-0.06865031948709444,109,109,0.0,0.0,0.0
09353,0.26651279046126986,0.15374373055350501,0.18118917336759002,0.5037182703826767,22285.0,100708.0,21956.0,117195.0,0.13299239179724895,0.07123291368119931,0.1501977409167212,0.11932370425623291,5279.0,29868.0,38962.0,188035.0,-0.0825108168723057,104,104,0.0,0.0,0.0
05637,0.21644393208374252,0.12135527218755486,0.22853364589907732,0.2055690727223574,7604.0,25669.0,29386.0,199485.0,0.048606027649384057,0.02490836209298836,0.10736394714958884,0.03141389564747229,1162.0,9661.0,35828.0,215493.0,-0.0964469100945665,143,143,0.0,0.0,0.0
04251,0.21208804846953166,0.1186233182724588,0.3213662939788696,0.15826962583773954,9399.0,19848.0,49987.0,182910.0,0.0077228774154103575,0.0038764072165781015,0.08673653776653416,0.004041356548681508,240.0,2527.0,59146.0,200231.0,-0.1147469110558807,88,88,0.0,0.0,0.0
00372,0.26242400097001617,0.15102879017465506,0.21243479724045095,0.3431794500067956,7575.0,28083.0,14498.0,211988.0,0.442056746079253,0.2837438045107004,0.6512920010582944,0.33457164862048655,7385.0,3954.0,14688.0,236117.0,0.13271501433604535,107,107,0.0,0.0,0.0
05758,0.1428370259106271,0.07691141160116265,0.11476739142733221,0.18908254885512785,6086.0,46943.0,26101.0,183014.0,0.015528114897450847,0.007824809720924022,0.052783282291479015,0.009103054028023737,293.0,5258.0,31894.0,224699.0,-0.06908660188023863,82,82,0.0,0.0,0.0
01967,0.12852390124321486,0.0686751497005988,0.07784691218359226,0.36824501887333366,7707.0,91295.0,13222.0,149920.0,0.17515693694087797,0.09598465779695553,0.16151674062121824,0.19131348846098714,4004.0,20786.0,16925.0,220429.0,0.027309508096356724,84,84,0.0,0.0,0.0
08728,0.14149965339762346,0.07613646866211594,0.08081310611581366,0.5681560668013202,11533.0,131179.0,8766.0,110666.0,0.4417923084437787,0.28352594512131407,0.3299447943772952,0.668358047194443,13567.0,27552.0,6732.0,214293.0,0.20738947645919814,95,95,0.0,0.0,0.0
07471,0.28764834368425823,0.16798438721585732,0.21343162077181033,0.4409962809215907,28577.0,105316.0,36224.0,92027.0,0.5300974510323093,0.360634418522912,0.4557892632654421,0.6333544235428465,41042.0,49004.0,23759.0,148339.0,0.1926500313070547,71,71,0.0,0.0,0.0
01709,0.4112288917042192,0.2588345731848876,0.2996062578135041,0.6554121405750799,25643.0,59946.0,13482.0,163073.0,0.20259709736177214,0.11271657404380517,0.43345625209520616,0.13219169329073482,5172.0,6760.0,33953.0,216259.0,-0.14611799914108245,71,71,0.0,0.0,0.0
05209,0.22970240839924802,0.12975355640152275,0.1522296137843492,0.46775009028530157,12952.0,72130.0,14738.0,162324.0,0.24219463387150045,0.13778239533135858,0.26209999579496235,0.2250993138317082,6233.0,17548.0,21457.0,216906.0,0.00802883892983583,116,116,0.0,0.0,0.0
03336,0.20571377793575332,0.11464936608557845,0.1471055474359789,0.3419497784342688,9260.0,53688.0,17820.0,181376.0,0.07695314681409504,0.04001626205134162,0.15777421570872452,0.05088626292466765,1378.0,7356.0,25702.0,227708.0,-0.07463310403423683,110,110,0.0,0.0,0.0
01244,0.6288331618894046,0.458611705309259,0.5337226794089018,0.7651919449918384,90474.0,79041.0,27763.0,64866.0,0.7378216410420515,0.584562107094908,0.647165394012465,0.8580139888528971,101449.0,55310.0,16788.0,88597.0,0.12595040178564898,84,84,0.0,0.0,0.0
02287,0.5842419210348068,0.4126707307662628,0.556118257541882,0.6153616017490363,53478.0,42685.0,33427.0,132554.0,0.370944728452739,0.22770542837409036,0.636414503133393,0.2617570910764628,22748.0,12996.0,64157.0,162243.0,-0.18496530239217246,34,34,0.0,0.0,0.0
