tp,fp,fn,tn,precision,recall,f1,iou,stem,mean_token_prob,mean_pixel_prob,mean_within_token_variance,boundary_inconsistency,interior_inconsistency
18415,38652,29012,176065,0.3226908721327562,0.38828093701899763,0.3524604283499531,0.21393138860813904,01912,0.25151756405830383,0.25072991847991943,1.9726172901293714e-15,0.23201408982276917,0.0
46,4319,12340,245439,0.010538373424971364,0.003713870498950428,0.005492209420333114,0.002753666566896139,06667,0.06847332417964935,0.06131332367658615,2.4512143586064184e-16,0.07335610687732697,0.0
24258,74453,34924,128509,0.24574768769438057,0.40988814166469534,0.30727137998517984,0.1815243012683803,04626,0.4292657673358917,0.3889457583427429,3.84429844043603e-15,0.33084121346473694,0.0
4237,43742,17166,196999,0.08830946872590091,0.19796290239686026,0.12213542417341673,0.0650395272085348,00522,0.15540549159049988,0.19288186728954315,7.527778617262686e-16,0.1625535935163498,0.0
129466,55977,28009,48692,0.6981444433060293,0.8221368471185903,0.7550843058690415,0.6065344901898319,01530,0.6430246829986572,0.6804207563400269,7.119716000968916e-15,0.26611846685409546,0.0
1061,17160,4670,239253,0.05822951539432523,0.18513348455766881,0.0885938543754175,0.046350093923376,08493,0.13046371936798096,0.11910732090473175,8.485008207375649e-16,0.15778686106204987,0.0
22023,56121,75974,108026,0.28182585995085996,0.2247313693276325,0.2500610306515803,0.14289700099923436,01484,0.2699466049671173,0.3555012047290802,8.412735467294447e-16,0.18675488233566284,0.0
47613,95860,33854,84817,0.33186035003101627,0.5844452354941264,0.42333955721525734,0.2685039503290531,11303,0.48045700788497925,0.4953024387359619,3.1411699526713762e-15,0.3436342179775238,0.0
7658,92837,16300,145349,0.07620279615901289,0.31964270807246015,0.1230665391754317,0.06556787533712916,09278,0.3954390585422516,0.41374945640563965,3.435854742999707e-15,0.3100147545337677,0.0
8335,40603,27076,186130,0.17031754464833054,0.23537883708452176,0.1976312700802618,0.1096508537900913,00278,0.3107489347457886,0.22599658370018005,1.4749345486505202e-15,0.3060026466846466,0.0
7398,58402,8936,187408,0.11243161094224924,0.45292028896779724,0.18014464168310323,0.09898843930635838,03465,0.27644309401512146,0.26713424921035767,1.2941990480973132e-15,0.3099360764026642,0.0
11628,82865,12308,155343,0.12305673436127544,0.48579545454545453,0.19637082133599032,0.10887538506193763,03588,0.451365202665329,0.3779788315296173,3.0084258636690175e-15,0.32086867094039917,0.0
15485,97418,19253,129988,0.13715313144912003,0.44576544418216363,0.20976558002180962,0.11717212990707951,01780,0.38532212376594543,0.41067641973495483,3.556600126588026e-15,0.3930851221084595,0.0
8543,14083,55920,183598,0.37757447184654824,0.13252563486030747,0.1961901043759832,0.10876429098871998,06807,0.15003898739814758,0.16239847242832184,4.529049268234556e-16,0.1493174284696579,0.0
41911,72634,43586,104013,0.3658911344886289,0.4902043346550171,0.41902200537887047,0.2650397455274424,05536,0.4005124866962433,0.40927088260650635,2.4662742193684594e-15,0.2931004762649536,0.0
2451,19383,27506,212804,0.11225611431712008,0.08181727142237206,0.09464964955301114,0.04967571949736522,01962,0.19128404557704926,0.18743140995502472,7.312652166521133e-16,0.16263198852539062,0.0
0,93428,0,168716,0.0,0.0,0.0,0.0,01016,0.3385695815086365,0.3521585464477539,2.2709100781971038e-15,0.29617199301719666,0.0
6160,49560,13772,192652,0.11055276381909548,0.3090507726269316,0.16285094908264156,0.08864329707016635,00752,0.2693637013435364,0.2591240406036377,1.5917503001797751e-15,0.23944877088069916,0.0
32709,90134,19260,120041,0.26626669814315834,0.6293944466893725,0.3742191611559847,0.23017811024397797,03171,0.4446590840816498,0.4315689206123352,2.394484067546682e-15,0.2359151989221573,0.0
4428,78661,12952,166103,0.05329225288546017,0.25477560414269274,0.08814659248126287,0.0461053091908664,06228,0.3615850508213043,0.32524508237838745,2.2722961093427907e-15,0.28647780418395996,0.0
10571,77479,12000,162094,0.12005678591709257,0.4683443356519428,0.1911210348848772,0.10565717141429286,02819,0.4026572108268738,0.3292957842350006,3.0285735026878025e-15,0.3579810857772827,0.0
29486,62646,19230,150782,0.3200408110102896,0.6052631578947368,0.4186924911961831,0.26477613548607243,04387,0.3729168176651001,0.38484036922454834,2.6508296023591207e-15,0.3359297215938568,0.0
1336,39449,10804,210555,0.0327571411057987,0.1100494233937397,0.05048653755314123,0.02589699354513559,02477,0.21285757422447205,0.18868030607700348,1.0378100932610916e-15,0.21824432909488678,0.0
3944,54300,15293,188607,0.06771512945539454,0.20502157301034465,0.10180560395451786,0.053632865088322886,03183,0.30658549070358276,0.29649612307548523,2.197303940810019e-15,0.20786921679973602,0.0
21859,113068,5236,121981,0.16200612182884078,0.806754013655656,0.2698275542827517,0.1559541391094654,07335,0.37826433777809143,0.42262548208236694,1.898080463714783e-15,0.33104121685028076,0.0
